arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
200,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0200,1,1,0.00067,6.7e-06,0.07,0.0007,0.0622598429582,0.03671297329,0.247295335126,0.146147711222,0.20260179808,0.237805884766,0.995472174508
300,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0300,1,1,0.00067,6.7e-06,0.07,0.0007,0.0384429669799,0.0331926570931,0.258145226807,0.0438131220707,0.173103847852,0.236169782522,0.998775258636
400,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0400,1,1,0.00067,6.7e-06,0.07,0.0007,0.0264815743993,0.0328976460471,0.20742026547,0.0391868586638,0.180150210706,0.195655939151,0.998960312762
500,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0500,1,1,0.00067,6.7e-06,0.07,0.0007,0.0193493609795,0.0333653568528,0.228859369563,0.041758164519,0.188869324731,0.211754944476,0.999676995155
600,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0600,1,1,0.00067,6.7e-06,0.07,0.0007,0.0145478961504,0.0329299789827,0.249398236276,0.0444506705555,0.184559459421,0.227956095326,0.999792972231
700,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0700,1,1,0.00067,6.7e-06,0.07,0.0007,0.0111034670336,0.0339443539967,0.275268826377,0.0485089230102,0.119403534874,0.247901455977,0.99987651857
800,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0800,1,1,0.00067,6.7e-06,0.07,0.0007,0.00844276364448,0.0336791154776,0.310933152996,0.0524254516831,0.0598731717324,0.266505120989,0.99980853332
900,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0900,1,1,0.00067,6.7e-06,0.07,0.0007,0.00642392975842,0.0340421017075,0.345426205588,0.057977463318,0.0674698217792,0.283116296448,0.99996509102
1,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0001,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0740541901046,0.164958461539,0.110498153803,0.151582543392,0.163620869724,0.0559876643561
2,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0002,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0831561274237,0.206247592396,0.161020527151,0.199235513236,0.205726471333,0.136893753104
3,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0003,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0878107983809,0.279606909003,0.154877439057,0.253456605031,0.276971210542,0.202690012818
4,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0004,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0939124010399,0.324591526452,0.184537125418,0.284426349159,0.318873107825,0.27154281766
5,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0005,1,2,0.00067,6.7e-06,0.07,0.0007,0.991111111111,0.0986529033934,0.267922570822,0.207602069471,0.232772131444,0.260633049853,0.340471637088
6,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0006,1,2,0.00067,6.7e-06,0.07,0.0007,0.981481481481,0.10661026707,0.29050034881,0.222171265522,0.249136159672,0.280605227704,0.402237742266
7,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0007,1,2,0.00067,6.7e-06,0.07,0.0007,0.974921630094,0.115424696475,0.278289118535,0.231286925246,0.261525284184,0.275993375554,0.472578017922
8,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0008,1,2,0.00067,6.7e-06,0.07,0.0007,0.953678474114,0.120856571279,0.290623660781,0.235875993958,0.268361123051,0.288883660488,0.529970973294
9,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0009,1,2,0.00067,6.7e-06,0.07,0.0007,0.922222222222,0.117219191827,0.281929187406,0.234279635741,0.261603547621,0.280267105462,0.569839935193
10,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0010,1,2,0.00067,6.7e-06,0.07,0.0007,0.884742041712,0.116180677209,0.305392070159,0.215337548276,0.256052585029,0.285946240485,0.618356432031
20,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0020,1,2,0.00067,6.7e-06,0.07,0.0007,0.620727673649,0.108750871483,0.235999863114,0.206219845288,0.219641653974,0.233374718797,0.873659335139
30,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0030,1,2,0.00067,6.7e-06,0.07,0.0007,0.445845697329,0.0919051010209,0.234337593979,0.203016530829,0.216743947823,0.227830065414,0.939175386465
40,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0040,1,2,0.00067,6.7e-06,0.07,0.0007,0.333425110132,0.0756662491532,0.233246147753,0.201310861974,0.217371527671,0.230432726267,0.957040442058
50,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0050,1,2,0.00067,6.7e-06,0.07,0.0007,0.269725177305,0.0667901447976,0.233607360503,0.200517969749,0.216549600823,0.227577316451,0.970875210255
60,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0060,1,2,0.00067,6.7e-06,0.07,0.0007,0.225573649149,0.060347387878,0.236737280667,0.196288023076,0.214390960707,0.226096460741,0.977600736511
70,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0070,1,2,0.00067,6.7e-06,0.07,0.0007,0.193568927093,0.0557889766507,0.231468288861,0.193326415182,0.213644152925,0.225935445429,0.982904543053
80,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0080,1,2,0.00067,6.7e-06,0.07,0.0007,0.166988683412,0.0519755479586,0.23295451043,0.189404242914,0.214364893964,0.224722417903,0.983639070736
90,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0090,1,2,0.00067,6.7e-06,0.07,0.0007,0.14689334638,0.0491235130283,0.235514695761,0.185284138009,0.213047109847,0.227311913367,0.986866408531
100,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0100,1,2,0.00067,6.7e-06,0.07,0.0007,0.131767559819,0.0468455148717,0.233452293509,0.177922375375,0.211916270455,0.225939762069,0.988824027599
200,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0200,1,2,0.00067,6.7e-06,0.07,0.0007,0.0622498888395,0.0367950903356,0.250463400186,0.145830451981,0.195584935715,0.235875504569,0.996961153718
300,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0300,1,2,0.00067,6.7e-06,0.07,0.0007,0.0383533244484,0.0331075318005,0.26949943783,0.0429035146907,0.173660507549,0.22386330398,0.99851827347
400,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0400,1,2,0.00067,6.7e-06,0.07,0.0007,0.0262705758466,0.0326945657073,0.212430372418,0.0391850611888,0.180325678643,0.196653889802,0.998760162643
500,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0500,1,2,0.00067,6.7e-06,0.07,0.0007,0.0191440691141,0.0334737073405,0.2313901379,0.0417426969832,0.189424101432,0.210889916979,0.999235483872
600,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0600,1,2,0.00067,6.7e-06,0.07,0.0007,0.0144202253855,0.0331478992961,0.257792009457,0.044730403459,0.183555421759,0.229732509744,0.999694751366
700,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0700,1,2,0.00067,6.7e-06,0.07,0.0007,0.0109694445328,0.0337655096696,0.283179719309,0.0481894797835,0.119862752495,0.248296090582,0.999929781119
800,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0800,1,2,0.00067,6.7e-06,0.07,0.0007,0.00840067316653,0.033634029458,0.31498166949,0.0525164057561,0.0609114380273,0.267601252297,0.999956012986
900,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0002-arrivalRate0900,1,2,0.00067,6.7e-06,0.07,0.0007,0.00643170495948,0.0333307455637,0.357959784125,0.0562263146862,0.0644137009574,0.282555912276,0.999908726415
1,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0001,1,3,0.00067,6.7e-06,0.07,0.0007,1.0,0.0720938287234,0.108094856587,0.0900314626479,0.0986741622425,0.107152787153,0.0571764783772
2,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0002,1,3,0.00067,6.7e-06,0.07,0.0007,1.0,0.079060251586,0.177473349353,0.125548236661,0.146931611948,0.175736516457,0.131115594557
3,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0003,1,3,0.00067,6.7e-06,0.07,0.0007,0.996240601504,0.0852416306553,0.302744652409,0.145441828863,0.250013494862,0.302137891302,0.206271019945
4,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0004,1,3,0.00067,6.7e-06,0.07,0.0007,0.997267759563,0.0903353628726,0.320605845132,0.162089693341,0.245553141826,0.315856898437,0.278122795597
5,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0005,1,3,0.00067,6.7e-06,0.07,0.0007,0.997858672377,0.0966576450236,0.329908665044,0.175820683829,0.251290175362,0.325615730659,0.358474385543
6,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0003-arrivalRate0006,1,3,0.00067,6.7e-06,0.07,0.0007,0.984402079723,0.106593940593,0.274781961224,0.204120049728,0.253275814986,0.272840220634,0.43536220112
